,productTitle,Review Title,Rating,Review Body
84,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Not a best option,1.0 out of 5 stars,Their is so many issue with the product like connectivity sound quality and many more
85,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Not good working,2.0 out of 5 stars,Sound is very poor noise cancelling not working And some sound is coming from bud like lightning 🌩🌩on righ side buds
86,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).","Missing charge cable & extra buds, and left side buds working not good",1.0 out of 5 stars,"Missing charge cable & extra buds, and left side buds working not good getting sound disturbance and no active cancelation"
87,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Impressive,4.0 out of 5 stars,I Think...This is Good One in the Segment
88,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",I am with purchased new realme buds air 2,5.0 out of 5 stars,I am with purchased new realme buds air 2 ... excellent sound system with thish price...I'm happy with thish product
89,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Not working properly,3.0 out of 5 stars,My left buds is not working properly sometimes its not showing in my device sometimes its not disconnecting
90,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Sound quality is very good at this price.,5.0 out of 5 stars,Sound quality is very good. Noise cancellation is also good according to this price. Loved it❤️❤️
91,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",This airbuds sound quality and noise cancelataion so good and premium,4.0 out of 5 stars,i like this sound and premium build quality so good voice cancelation good i deslike calling sound fine but not good very
92,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",kaafi accha hai.,3.0 out of 5 stars,is price range mein kaafi accha hai.
93,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Most recommended,5.0 out of 5 stars,Buy it yaar so loud and clear and best anc .. just wear and not a single voice of outside
94,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Super one,5.0 out of 5 stars,
95,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).","Worst quality,just after the return time was over it stopped working.... absolutely waste of money",1.0 out of 5 stars,"Pathetic product, waste of money.It stopped working just after 10 days ... Absolutely disgusted with this"
96,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Left side buds is not working,1.0 out of 5 stars,"The media could not be loaded.
                



 Dislike and I want to return this as warranty period"
97,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer Black, True Wireless).",Nice product,5.0 out of 5 stars,Highly Recommended for none-iphone users
